Name,LevelRange,Zone,Family
Aa Nawu the Thunderblade,60 - 60,Balga's Dais,Yagudo
Aa Xalmo the Savage,80 - 84,Castle Oztroja (S),Yagudo
Aa'Bho Slashburner,N/A,Rolanberry Fields (S),Quadav
Aa'Nyu Dismantler,N/A,Dynamis - Bastok,Dynamis - Quadav
Abas,N/A,Abyssea-Tahrongi,Eft
Abatwa,N/A,Crawlers' Nest (S),Sapling
Abhac,N/A,Lufaise Meadows,Pugil
Absolute Virtue,N/A,Al'Taieu,Aern
Abyss Sahagin,72 - 74,Sea Serpent Grotto,Sahagin
Abyssdweller Jhabdebb,N/A,Temenos,Orc
Abyssic Cluster,N/A,Abyssea-Misareaux,Cluster
Ace of Batons,75 - 75,Full Moon Fountain,Cardian
Ace of Coins,75 - 75,Full Moon Fountain,Cardian
Ace of Cups,75 - 75,Full Moon Fountain,Cardian
Ace of Swords,75 - 75,Full Moon Fountain,Cardian
Achamoth,N/A,Halvung,Wamoura
Achamoth Nympha,N/A,Halvung,Wamoura
Achamothcampa,N/A,Halvung,Wamouracampa
Acolnahuacatl,N/A,Yhoator Jungle,Coeurl
Acrolith,N/A,Al Zahbi,Acrolith
Adaman Quadav,72 - 74,Qulun Dome,Quadav
Adamantoise,72 - 74,Valley of Sorrows,Adamantoise
Adamantoise (Nyzul),N/A,Nyzul Isle,Adamantoise
Adamantshell,N/A,Apollyon - Southeast,Limbus - Crab
Adamastor,N/A,Abyssea-La Theine,Gigas
Adze,N/A,Abyssea-Tahrongi,Gnat
Aerial Torpedo,N/A,Al Zahbi,Bomb
Agar Agar,N/A,Ordelle's Caves,Slime
Agas,N/A,The Boyahda Tree,Ahriman
Aggressor Antlion,N/A,Abyssea-Attohwa,Antlion
Agonizer,60 - 60,Spire of Vahzl,Empty
Agrios,85 - 86,La Vaule (S),Gigas
Ah Puch,N/A,Outer Horutoto Ruins,Skeleton
Ahtu,51 - 52,Batallia Downs,Treant
Aiatar,N/A,Riverne - Site #A01,Wyvern
Aiatar (Nyzul),N/A,Nyzul Isle,Wyvern
Aipaloovik,N/A,Phanauet Channel,Pugil
Air Pot,N/A,Qu'Bia Arena,Magic Pot
Airi,N/A,King Ranperre's Tomb, 1 more areas,Ghost
Aither,N/A,Batallia Downs, 5 more areas,Elemental
Aitvaras,N/A,Dynamis - Buburimu,Dynamis - Dragon
Ajido-Marujido,N/A,Stellar Fulcrum,Tarutaru
Akash,N/A,Abyssea-La Theine,Avatar
Alastor Antlion,83 - 83,Attohwa Chasm,Antlion
Albino Antlion,N/A,Verdical Conflux 3,Antlion
Alectryon,N/A,Abyssea-Tahrongi,Cockatrice
Alexander,N/A,Nyzul Isle,Avatar
Alexander,N/A,Nyzul Isle,Avatar
Alexander Image,N/A,Nyzul Isle,Avatar
Alfard,N/A,Abyssea-Grauberg,Hydra
Alklha,N/A,Dynamis - Buburimu,Dynamis - Dragon
Alkonost,N/A,Abyssea-Konschtat,Hippogryph
Alkyoneus,75 - 75,Upper Delkfutt's Tower,Gigas
All-Seeing Onyx Eye,N/A,La Vaule (S),Ahriman
Allotaur,N/A,Beaucedine Glacier (S),Taurus
Almighty Apkallu,N/A,Silver Sea route to Al Zahbi,Apkallu
Almops,N/A,Vunkerl Inlet (S),Gigas
Alpha Gnole Anders,N/A,Jugner Forest (S),Gnole
Alsha,N/A,Misareaux Coast,Humanoid
Altedour I Tavnazia,65 - 65,Fei'Yin,Shadow
Amaltheia,N/A,Lufaise Meadows,Ram
Amanita,N/A,West Ronfaure,Funguar
Amaranth,N/A,Fort Karugo-Narugo (S),Rafflesia
Amarok,N/A,Abyssea-Altepa,Cerberus
Ambusher Antlion,N/A,Attohwa Chasm,Antlion
Amemet,66 - 66,Kuftal Tunnel,Lizard
Amhuluk,N/A,Abyssea-Misareaux,Amphiptere
Amikiri,80 - 80,Gustav Tunnel,Scorpion
Amikiri (Nyzul),N/A,Nyzul Isle,Scorpion
Amnaf,N/A,Nyzul Isle,Hume
Amnaf (Soulflayer),N/A,Nyzul Isle,Soulflayer
Amphiptere,N/A,Beaucedine Glacier (S),Amphiptere
Amphitrite,N/A,Abyssea-Grauberg,Uragnite
Amun,N/A,Abyssea-Attohwa,Hecteyes
Anansi,75 - 75,Qu'Bia Arena,Spider
Anantaboga,N/A,Mount Zhayolm,Dragon
Anapos,N/A,Ghoyu's Reverie (MMM),Elemental
Ancient Goobbue,78 - 80,The Boyahda Tree,Goobbue
Ancient Sorcerer,N/A,Qu'Bia Arena,Skeleton
Ancient Vessel,72 - 72,Quicksand Caves,Magic Pot
Ancient Warrior,N/A,Qu'Bia Arena,Skeleton
Ancient Weapon,66 - 66,Behemoth's Dominion,Evil Weapon
Ancilla Beetle,N/A,East Ronfaure (S),Beetle
Anders's Guard,N/A,Jugner Forest (S),Gnole
Andhrimnir,N/A,Einherjar - Helmwige's Chamber, 2 more areas,Corse
Andras's Vouivre,N/A,Dynamis - Xarcabard,Dynamis - Wyvern
Anemic Aloysius,N/A,Abyssea-Uleguerand,Worm
Angantyr,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Demon
Angler Orobon,N/A,Talacca Cove,Orobon
Angra Mainyu,N/A,Dynamis - Beaucedine,Dynamis - Ahriman
Animated Claymore,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Animated Dagger,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Animated Great Axe,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Animated Gun,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Animated Hammer,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Animated Horn,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Animated Knuckles,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Animated Kunai,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Animated Longbow,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Animated Longsword,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Animated Scythe,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Animated Shield,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Animated Spear,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Animated Staff,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Animated Tabar,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Animated Tachi,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Anise Custard,N/A,Nyzul Isle,Flan
Ankabut,N/A,North Gustaberg (S),Spider
Ankou,N/A,King Ranperre's Tomb,Skeleton
Annihilated Anthony,N/A,Qu'Bia Arena,Ghost
Ansherekh,N/A,Abyssea-Altepa,Tiger
Antaeus,N/A,Dynamis - Qufim,Dynamis - Gigas
Anthracite Antlion,N/A,Verdical Conflux 3,Antlion
Antican Consul,75 - 75,Quicksand Caves,Antica
Antican Legatus,72 - 74,Quicksand Caves,Antica
Antican Magister,65 - 66,Quicksand Caves,Antica
Antican Praefectus,65 - 65,Quicksand Caves,Antica
Antican Praetor,72 - 74,Quicksand Caves,Antica
Antican Proconsul,65 - 65,Quicksand Caves,Antica
Antican Tribunus,72 - 74,Quicksand Caves,Antica
Anuvix Sootwrists,N/A,Dynamis - Jeuno,Dynamis - Goblin
Apademak,N/A,Abyssea-Uleguerand,Chimera
Apis,N/A,Bearclaw Pinnacle,Buffalo
Apocalyptic Beast,N/A,Dynamis - Buburimu,Dynamis - Dragon
Apollyon Sapling,N/A,Apollyon - Southwest,Limbus - Sapling
Apollyon Scavenger,N/A,Apollyon - Northwest,Limbus - Bugard
Aquarius,69 - 71,The Boyahda Tree,Crab
Aquarius (Nyzul),N/A,Nyzul Isle,Crab
Aquila,N/A,Throne Room (S),Fomor
Arachne,69 - 69,Kuftal Tunnel,Spider
Arboricole Beetle,N/A,Apollyon - Southwest,Limbus - Beetle
Arboricole Crawler,N/A,Apollyon - Southwest,Limbus - Crawler
Arboricole Hornet,N/A,Apollyon - Southwest,Bee
Arboricole Opo-opo,N/A,Apollyon - Southwest,Limbus - Opo-opo
Arboricole Raven,N/A,Apollyon - Southwest,Limbus - Bird
Arboricole Sapling,N/A,Apollyon - Southwest,Limbus - Sapling
Arboricole Spider,N/A,Apollyon - Southwest,Limbus - Spider
Arcane Phantasm,N/A,Riverne - Site #A01,Fomor
Archaic Chariot,N/A,Arrapago Remnants,Salvage - Archaic Chariots
Archaic Chariot,N/A,Bhaflau Remnants,Salvage - Archaic Chariots
Archaic Mirror,N/A,Halvung,Mirror
Archaic Mirror,N/A,Arrapago Reef,Mirror
Archaic Mirror,N/A,Mamook,Mirror
Archaic Rampart,N/A,Arrapago Remnants,Salvage - Archaic Ramparts
Archaic Rampart,N/A,Nyzul Isle,Archaic Machinery
Archaic Rampart,N/A,Silver Sea Remnants,Salvage - Archaic Ramparts
Archer Pugil,N/A,Horlais Peak,Pugil
Archlich Taber'quoan,50 - 50,Qu'Bia Arena,Skeleton
Argus,36 - 37,Maze of Shakhrami,Hecteyes
Argus (Nyzul),N/A,Nyzul Isle,Hecteyes
Aries,N/A,Horlais Peak,Ram
Arimaspi,N/A,Abyssea-Konschtat,Ahriman
Arioch,N/A,Bostaunieux Oubliette,Bats
Ariri Samariri,N/A,Einherjar - Helmwige's Chamber, 2 more areas,Poroggo
Ark Angel EV,N/A,La'Loff Amphitheater,Special
Ark Angel GK,N/A,La'Loff Amphitheater,Special
Ark Angel HM,N/A,La'Loff Amphitheater,Special
Ark Angel MR,N/A,La'Loff Amphitheater,Special
Ark Angel TT,N/A,La'Loff Amphitheater,Special
Ark Angel's Mandragora,N/A,La'Loff Amphitheater,Mandragora
Ark Angel's Tiger,N/A,La'Loff Amphitheater,Tiger
Ark Angel's Wyvern,N/A,La'Loff Amphitheater,Wyvern
Armed Gears,N/A,Alzadaal Undersea Ruins,Archaic Machinery
Armillaria,N/A,Abyssea-Vunkerl,Funguar
Armored Chariot,N/A,Arrapago Remnants,Salvage - Archaic Chariots
Armored Hunter,N/A,Boneyard Gully,Antlion
Armsmaster Dekbuk,60 - 60,Horlais Peak,Orc
Aroma Crawler,44 - 48,Maze of Shakhrami,Crawler
Aroma Fly,44 - 48,Gusgen Mines,Fly
Aroma Leech,44 - 48,Ordelle's Caves,Leech
Asanbosam,N/A,Abyssea-Misareaux,Bats
Ascetox Ratgums,N/A,Dynamis - Beaucedine,Dynamis - Goblin
Ash Dragon,85 - 85,Ifrit's Cauldron,Dragon
Ashmaker Gotblut,17 - 18,Yughott Grotto,Orc
Ashmaker Gotblut,N/A,La Vaule (S),Orc
Ashtaerth the Gallvexed,N/A,Abyssea-Konschtat,Soulflayer
Ashu Talif Captain,N/A,The Ashu Talif,Fomor
Ashu Talif Crew (Monk),N/A,Dvucca Isle Staging Point,Fomor
Ashu Talif Crew (Ranger),N/A,Dvucca Isle Staging Point,Fomor
